B014B-11,0
B014B-12,7
B014B-13,20
B014B-1,20
B014B-2,20
B014B-3,20
B014B-4,20
B014B-5,20
B014B-5.5,0
B014LT-10,10
B014LT-11,20
B014LT-12,20
B014LT-13,20
B014LT-1,20
B014LT-2,20
B014LT-3,20
B014LT-4,20
B014LT-5,20
B014LT-5.5,20
B040F-4,20
B040F-5,20
B040F-6,20
B040T-4,20
B040T-5,20
B040T-6,20
B157A-13,16
B157A-1,20
B157A-2,20
B157A-3,20
B157A-4,20
B157A-5,20
B157A-5.5,20
B157A-6,20
B1881A-3,20
B1881A-4,20
B1881A-5,20
B1881A-6,20
B370A-10,11
B370A-11,20
B370A-12,20
B370A-13,20
B370A-1,20
B370A-2,20
B370A-3,20
B370A-4,20
B370A-5,20
B370A-5.5,9
B407A-8,16
B407A-9,9
B407A-10,20
B407A-11,20
B407A-12,20
B407A-13,20
B407A-1,20
B407A-2,20
B407A-3,20
B407A-4,0
B407A-5,0
B410B-10,0
B410B-11,0
B410B-12,3
B410B-13,0
B410B-1,20
B410B-2,7
B410B-3,20
B410B-4,20
B410B-5,17
B410B-5.5,0
B424B-10,15
B424B-11,18
B424B-12,20
B424B-13,20
B424B-1,20
B424B-2,13
B424B-3,20
B424B-4,20
B424B-5,20
B424B-5.5,20
B430A-3,20
B430A-4,20
B430A-5,20
B430A+-6,20
B430A+-7,20
B430A+-8,20
B430A+-9,13
B430A+-10,20
B430A+-11,20
B430A+-12,10
B430BD-3,0
B430BD-4,0
B430BD-5,20
B430BD-6,20
B430BD-7,0
B430BD-8,20
B430BD-9,20
B430BD-10,0
B430BD-11,17
B430BD-12,5
B430CS-3,0
B430CS-4,1
B430CS-5,9
B430CS-6,3
B430CS-7,0
B430CS-8,6
B430CS-9,20
B430CS-10,0
B430CS-11,3
B430CS-12,0
B430GB-3,0
B430GB-4,0
B430GB-5,1
B430GB-6,11
B430GB-7,14
B430GB-8,20
B430GB-9,20
B430GB-10,11
B430GB-11,7
B430GB-12,7
B430M-6,0
B430M-7,0
B430M-8,0
B430M-9,0
B430M-10,0
B430M-11,0
B430M-12,0
B430TS-3,0
B430TS-4,6
B430TS-5,14
B430TS-6,15
B430TS-7,5
B430TS-8,3
B430TS-9,11
B430TS-10,0
B430TS-11,4
B430TS-12,0
B499B-10,0
B499B-11,12
B499B-12,14
B499B-13,20
B499B-1,20
B499B-2,20
B499B-3,20
B499B-4,20
B499B-5,20
B499B-5.5,20
B501A-1,0
B501A-2,20
B501A-3,6
B501A-4,20
B501A-5,20
B501A-6,20
B516A-11,0
B516A-12,4
B516A-13,16
B516A-1,13
B516A-2,20
B516A-3,18
B516A-4,20
B516A-5,20
B516A-5.5,0
B516B-11,8
B516B-12,20
B516B-13,20
B516B-1,20
B516B-2,20
B516B-3,20
B516B-4,20
B516B-5,20
B516B-5.5,20
B516BD-11,14
B516BD-12,20
B516BD-13,20
B516BD-1,20
B516BD-2,20
B516BD-3,20
B516BD-4,20
B516BD-5,20
B516BD-5.5,20
B525A-8,0
B525A-9,12
B525A-10,4
B525A-11,16
B525A-12,20
B525A-13,20
B525A-1,20
B525A-2,20
B525A-3,20
B525A-4,20
B525A-5,20
B525A-6,20
B612A-1,20
B612A-2,20
B612A-3,20
B612A-4,20
B612A-5,20
